trade,entry_ts,equity_before,pnl_usd,equity_after
5641,1643204880.0,1174490669811.58,16197544899.38,1190688214710.96
5642,1643208660.0,1190688214710.96,-3477788376.02,1187210426334.94
5643,1643213160.0,1187210426334.94,11808300018.14,1199018726353.08
5644,1643225940.0,1199018726353.08,-6825112843.16,1192193613509.92
5645,1643253840.0,1192193613509.92,46235383838.56,1238428997348.48
5646,1643256360.0,1238428997348.48,-3328806435.47,1235100190913.01
5647,1643259060.0,1235100190913.01,-3665410750.34,1231434780162.67
5648,1643259600.0,1231434780162.67,-3193845587.46,1228240934575.22
5649,1643262840.0,1228240934575.22,24044744455.28,1252285679030.49
5650,1643263380.0,1252285679030.49,5114518077.96,1257400197108.45
5651,1643264460.0,1257400197108.45,-7676605417.03,1249723591691.42
5652,1643264820.0,1249723591691.42,-8579619573.19,1241143972118.23
5653,1643265000.0,1241143972118.23,-8937253144.25,1232206718973.98
5654,1643265540.0,1232206718973.98,957008485.82,1233163727459.8
5655,1643265720.0,1233163727459.8,-1911864311.73,1231251863148.06
5656,1643265720.0,1231251863148.06,1209490807.65,1232461353955.71
5657,1643272920.0,1232461353955.71,-3816870575.38,1228644483380.32
5658,1643277420.0,1228644483380.32,-1095433583.65,1227549049796.67
5659,1643280660.0,1227549049796.67,-7579316458.96,1219969733337.71
5660,1643281560.0,1219969733337.71,980528376.09,1220950261713.8
5661,1643304600.0,1220950261713.8,-4233575883.74,1216716685830.06
5662,1643307840.0,1216716685830.06,-3338962210.56,1213377723619.5
5663,1643310720.0,1213377723619.5,8479796358.78,1221857519978.28
5664,1643350500.0,1221857519978.28,-7826541651.45,1214030978326.83
5665,1643352480.0,1214030978326.83,6477253909.16,1220508232235.99
5666,1643356440.0,1220508232235.99,3978342986.39,1224486575222.38
5667,1643359140.0,1224486575222.38,-3577686361.11,1220908888861.27
5668,1643359500.0,1220908888861.27,-3353973703.08,1217554915158.19
5669,1643360040.0,1217554915158.19,1525744779.45,1219080659937.64
5670,1643363460.0,1219080659937.64,-3467255742.03,1215613404195.61
5671,1643366340.0,1215613404195.61,-3261111923.69,1212352292271.92
5672,1643367060.0,1212352292271.92,65464875.02,1212417757146.94
5673,1643408280.0,1212417757146.94,34920217076.36,1247337974223.3
5674,1643432400.0,1247337974223.3,-3550082177.74,1243787892045.56
5675,1643433660.0,1243787892045.56,2860482064.43,1246648374109.99
5676,1643464080.0,1246648374109.99,-7359760587.48,1239288613522.5
5677,1643468760.0,1239288613522.5,-3918341742.91,1235370271779.59
5678,1643474340.0,1235370271779.59,4573373761.01,1239943645540.6
5679,1643490000.0,1239943645540.6,10579001081.42,1250522646622.02
5680,1643491260.0,1250522646622.02,-3459978835.27,1247062667786.75
5681,1643491980.0,1247062667786.75,1767054229.58,1248829722016.33
5682,1643588460.0,1248829722016.33,-3616466339.58,1245213255676.75
5683,1643589000.0,1245213255676.75,2630764839.44,1247844020516.18
5684,1643659200.0,1247844020516.18,-8787833837.3,1239056186678.88
5685,1643660100.0,1239056186678.88,2921166181.24,1241977352860.12
5686,1643661720.0,1241977352860.12,17158795038.93,1259136147899.05
5687,1643665680.0,1259136147899.05,6930872210.06,1266067020109.11
5688,1643675760.0,1266067020109.11,-14351503228.58,1251715516880.52
5689,1643678820.0,1251715516880.52,52680006264.14,1304395523144.67
5690,1643681520.0,1304395523144.67,132760968575.4,1437156491720.07
5691,1643681700.0,1437156491720.07,-38433431449.52,1398723060270.55
5692,1643708340.0,1398723060270.55,-13909719613.36,1384813340657.19
5693,1643712480.0,1384813340657.19,-14053241080.23,1370760099576.96
5694,1643714100.0,1370760099576.96,25521889251.33,1396281988828.3
5695,1643721480.0,1396281988828.3,12844455978.19,1409126444806.49
5696,1643723460.0,1409126444806.49,-31329269591.32,1377797175215.17
5697,1643724180.0,1377797175215.17,18810443800.2,1396607619015.37
5698,1643735700.0,1396607619015.37,-31463664711.73,1365143954303.64
5699,1643738040.0,1365143954303.64,8331844238.76,1373475798542.4
5700,1643755320.0,1373475798542.4,-32493895974.29,1340981902568.11
5701,1643757480.0,1340981902568.11,59435417949.71,1400417320517.82
5702,1643767200.0,1400417320517.82,-14913284244.03,1385504036273.79
5703,1643806620.0,1385504036273.79,-31791660304.99,1353712375968.8
5704,1643810040.0,1353712375968.8,-16903070613.21,1336809305355.59
5705,1643811300.0,1336809305355.59,-14340250739.08,1322469054616.51
5706,1643811840.0,1322469054616.51,-17291531744.25,1305177522872.26
5707,1643820480.0,1305177522872.26,17190724724.87,1322368247597.13
5708,1643830560.0,1322368247597.13,7209804225.76,1329578051822.89
5709,1643831280.0,1329578051822.89,-14315950625.2,1315262101197.7
5710,1643831820.0,1315262101197.7,-11476401452.44,1303785699745.26
5711,1643868360.0,1303785699745.26,221322442191.74,1525108141937.0
5712,1643886900.0,1525108141937.0,-14456583842.97,1510651558094.02
5713,1643886900.0,1510651558094.02,-14438190888.76,1496213367205.27
5714,1643887260.0,1496213367205.27,-30580588550.67,1465632778654.6
5715,1643887980.0,1465632778654.6,1800048509.13,1467432827163.73
5716,1643893560.0,1467432827163.73,-15968658231.91,1451464168931.81
5717,1643907780.0,1451464168931.81,-31677132327.39,1419787036604.42
5718,1643908680.0,1419787036604.42,-14189390090.72,1405597646513.7
5719,1643909220.0,1405597646513.7,-1916701763.42,1403680944750.28
5720,1643910300.0,1403680944750.28,-528661638.98,1403152283111.3
5721,1643910480.0,1403152283111.3,-14393633033.87,1388758650077.43
5722,1643912820.0,1388758650077.43,-32735974390.74,1356022675686.69
5723,1643962680.0,1356022675686.69,-33022108924.37,1323000566762.31
5724,1643983920.0,1323000566762.31,17876399640.82,1340876966403.13
5725,1643987160.0,1340876966403.13,3378878723.62,1344255845126.75
5726,1643996880.0,1344255845126.75,14373616673.68,1358629461800.43
5727,1644004080.0,1358629461800.43,30484195035.49,1389113656835.92
5728,1644004980.0,1389113656835.92,-14942363137.46,1374171293698.47
5729,1644007140.0,1374171293698.47,-15820524420.92,1358350769277.55
5730,1644007680.0,1358350769277.55,11605237059.51,1369956006337.06
5731,1644028560.0,1369956006337.06,61989987467.08,1431945993804.14
5732,1644034680.0,1431945993804.14,28955381092.53,1460901374896.67
5733,1644035760.0,1460901374896.67,-34242080580.68,1426659294315.99
5734,1644036660.0,1426659294315.99,23950256548.11,1450609550864.1
5735,1644041700.0,1450609550864.1,-13912027123.97,1436697523740.13
5736,1644042780.0,1436697523740.13,-30684793954.91,1406012729785.22
5737,1644043500.0,1406012729785.22,171992981.53,1406184722766.76
5738,1644050160.0,1406184722766.76,-13237082622.74,1392947640144.02
5739,1644050700.0,1392947640144.02,-5928116130.87,1387019524013.15
5740,1644051960.0,1387019524013.15,-34196432383.97,1352823091629.18
5741,1644074280.0,1352823091629.18,-13507718268.23,1339315373360.95
5742,1644084360.0,1339315373360.95,-16018799769.54,1323296573591.41
5743,1644108120.0,1323296573591.41,83170373996.41,1406466947587.82
5744,1644114960.0,1406466947587.82,163306642997.85,1569773590585.67
5745,1644116040.0,1569773590585.67,105662359535.02,1675435950120.69
5746,1644130260.0,1675435950120.69,-14424041967.59,1661011908153.1
5747,1644130800.0,1661011908153.1,12093720173.84,1673105628326.94
5748,1644133320.0,1673105628326.94,14969823589.31,1688075451916.25
5749,1644142860.0,1688075451916.25,-17337480441.8,1670737971474.45
5750,1644144840.0,1670737971474.45,-14227566663.14,1656510404811.3
5751,1644146460.0,1656510404811.3,-37313487767.94,1619196917043.36
5752,1644195240.0,1619196917043.36,2637809787.75,1621834726831.11
5753,1644200280.0,1621834726831.11,-33833173013.17,1588001553817.95
5754,1644205680.0,1588001553817.95,88709229528.79,1676710783346.74
5755,1644207480.0,1676710783346.74,32266162450.09,1708976945796.83
5756,1644208560.0,1708976945796.83,-16332496451.92,1692644449344.9
5757,1644214320.0,1692644449344.9,32446277619.46,1725090726964.37
5758,1644229620.0,1725090726964.37,203651853753.5,1928742580717.87
5759,1644245820.0,1928742580717.87,-14502401358.22,1914240179359.64
5760,1644246540.0,1914240179359.64,-14604019175.52,1899636160184.12
5761,1644249420.0,1899636160184.12,1337966071.68,1900974126255.8
5762,1644250140.0,1900974126255.8,-16733202736.54,1884240923519.27
5763,1644250680.0,1884240923519.27,10403379273.17,1894644302792.44
5764,1644251580.0,1894644302792.44,-13659711204.89,1880984591587.55
5765,1644252120.0,1880984591587.55,-847946927.72,1880136644659.83
5766,1644254280.0,1880136644659.83,25440809571.04,1905577454230.88
5767,1644260040.0,1905577454230.88,68939665297.5,1974517119528.38
5768,1644262020.0,1974517119528.38,-13536250614.61,1960980868913.78
